,Mean,Std
train_acc,0.9553444973012079,0.004864231369534042
train_prec,0.9554249823029891,0.0032288583867829206
train_rec,0.9448954091481081,0.00800375110924936
train_f1,0.9501262546978865,0.005554074168414837
train_auc,0.9906280819384125,0.0018606126681196382
val_acc,0.8443342629893605,0.0062080277662707
val_prec,0.8706358075851468,0.012602421766143224
val_rec,0.7689837118605185,0.030159399906545824
val_f1,0.8162768932673751,0.011640121430775975
val_auc,0.9265756706504419,0.0035855356593115246
test_acc,0.8372815908133622,0.008846608790844647
test_prec,0.7881200742543846,0.019087108167197667
test_rec,0.8742779871695836,0.010095150095124536
test_f1,0.8287938700671895,0.006288014314966375
test_auc,0.923405350905254,0.0024486260919621343
