,Mean,Std
train_acc,0.9713783600098287,0.012115665447531487
train_prec,0.971301989012829,0.013546899795847937
train_rec,0.964941541897228,0.013483113790721436
train_f1,0.968111076592003,0.013501631961352097
train_auc,0.9948610595839936,0.0035920608557444924
val_acc,0.8536308232620597,0.0034830524326180164
val_prec,0.8309922470798989,0.016099654052123644
val_rec,0.8479008947006195,0.019010636361917615
val_f1,0.8391265727655647,0.0033216068325646222
val_auc,0.9264916138466645,0.004370812569059579
test_acc,0.8168272751221228,0.030836696316217924
test_prec,0.7490627088721373,0.04755606401105445
test_rec,0.8984785218862538,0.01665210121153846
test_f1,0.816079298312891,0.022085783715246516
test_auc,0.9200061029869202,0.009350808691523015
